source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
pushup_cdc_01.webm,660,pushup_cdc,168.023,168.331,174.08,1.0,4.428,0.0,0.5365,11.977,11.79,11.977,0,8.551,5.947,1.278,8.551,0,top,0,0,1,1,1
pushup_cdc_01.webm,675,pushup_cdc,177.061,172.706,174.191,1.0,7.481,0.0,0.5061,2.939,11.889,11.889,0,18.044,8.734,0.222,18.044,0,top,0,0,1,1,1
pushup_cdc_01.webm,690,pushup_cdc,177.202,171.766,173.177,1.0,4.242,0.0,0.5071,2.798,13.942,13.942,0,0.282,1.877,2.024,2.024,0,top,0,0,1,1,1
pushup_cdc_01.webm,705,pushup_cdc,174.101,166.471,169.406,1.0,5.743,0.0,0.4759,5.899,11.043,11.043,0,6.192,10.571,7.529,10.571,0,top,0,0,1,1,1
pushup_cdc_01.webm,720,pushup_cdc,178.874,168.542,167.963,1.0,29.538,0.0,0.8283,1.126,11.817,11.817,0,9.529,4.134,2.88,9.529,0,top,0,0,0,1,1
pushup_cdc_01.webm,735,pushup_cdc,179.724,169.296,169.436,1.0,39.836,0.0,0.7753,0.276,9.196,9.196,0,1.698,1.505,2.94,2.94,0,top,0,0,0,0,0
pushup_cdc_01.webm,750,pushup_cdc,179.79,168.4,168.503,1.0,38.644,0.0,0.2424,0.21,6.187,6.187,0,0.132,1.788,1.864,1.864,0,top,0,0,1,0,1
pushup_cdc_01.webm,765,pushup_cdc,178.795,168.582,169.155,1.0,35.62,0.0,0.0591,1.205,5.462,5.462,0,1.988,0.363,1.302,1.988,0,top,0,0,1,0,1
pushup_cdc_01.webm,780,pushup_cdc,175.461,176.388,174.092,1.0,31.443,0.0,1.1925,4.539,8.318,8.318,0,6.657,15.584,9.857,15.584,0,top,0,0,0,0,0
pushup_cdc_01.webm,795,pushup_cdc,169.223,174.8,179.58,1.0,44.633,0.0,1.2797,10.777,16.856,16.856,0,12.454,3.171,10.957,12.454,0,top,0,0,0,1,1
pushup_cdc_01.webm,810,pushup_cdc,169.189,170.092,174.906,1.0,15.863,0.0,0.1648,10.811,17.338,17.338,0,0.068,9.4,9.332,9.4,0,top,0,0,1,1,1
pushup_cdc_01.webm,825,pushup_cdc,154.511,172.226,169.939,0.7307,65.276,49.413,5.7527,25.489,178.658,178.658,0,29.305,4.261,9.915,29.305,0,descending,1,1,0,1,1
pushup_cdc_01.webm,840,pushup_cdc,167.076,169.296,175.56,1.0,92.026,0.0,0.4689,12.924,0.144,12.924,0,25.086,5.849,11.223,25.086,0,top,0,0,1,1,1
pushup_cdc_01.webm,855,pushup_cdc,169.668,168.177,173.428,1.0,95.063,0.0,1.057,10.332,8.966,10.332,0,5.175,2.235,4.256,5.175,0,top,0,0,0,1,1
pushup_cdc_01.webm,870,pushup_cdc,179.607,169.997,170.207,1.0,32.171,0.0,0.6885,0.393,11.248,11.248,0,19.844,3.634,6.432,19.844,0,top,0,0,1,1,1
pushup_cdc_01.webm,885,pushup_cdc,179.843,170.164,170.248,1.0,37.727,0.0,0.8394,0.157,10.253,10.253,0,0.472,0.333,0.083,0.472,0,top,0,0,0,1,1
pushup_cdc_01.webm,900,pushup_cdc,179.318,169.062,168.691,1.0,36.548,0.0,0.8365,0.682,9.88,9.88,0,1.048,2.2,3.11,3.11,0,top,0,0,0,0,0
pushup_cdc_01.webm,915,pushup_cdc,179.61,168.017,167.807,1.0,48.722,0.0,0.8746,0.39,8.43,8.43,0,0.582,2.087,1.764,2.087,0,top,0,0,0,0,0
pushup_cdc_01.webm,930,pushup_cdc,179.701,168.932,168.776,1.0,45.034,0.0,0.9065,0.299,7.329,7.329,0,0.183,1.827,1.935,1.935,0,top,0,0,0,0,0
pushup_cdc_01.webm,945,pushup_cdc,177.331,172.863,171.493,1.0,48.422,0.0,0.9205,2.669,4.368,4.368,0,4.733,7.848,5.424,7.848,0,top,0,0,0,0,0
pushup_cdc_01.webm,960,pushup_cdc,176.443,173.736,171.955,1.0,37.641,0.0,0.841,3.557,5.156,5.156,0,1.772,1.743,0.923,1.772,0,top,0,0,0,0,0
