source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
squat_wikimedia_01.webm,159,squat_wikimedia,99.91,91.576,162.401,0.9229,171.632,2.547,1.4187,80.09,131.72,131.72,0,345.239,336.7,16.692,345.239,0,bottom,1,0,0,1,1
squat_wikimedia_01.webm,162,squat_wikimedia,104.503,96.724,162.268,0.9143,172.685,3.599,1.4717,75.497,135.088,135.088,0,45.931,51.482,1.334,51.482,0,bottom,1,1,0,1,1
squat_wikimedia_01.webm,165,squat_wikimedia,103.806,97.039,162.486,0.9038,171.271,2.186,1.4498,76.194,133.431,133.431,0,6.965,3.15,2.181,6.965,0,bottom,1,0,0,1,1
squat_wikimedia_01.webm,168,squat_wikimedia,129.525,122.572,162.304,0.8971,178.273,9.188,1.4215,50.475,124.272,124.272,0,257.182,255.324,1.821,257.182,0,ascending,1,1,0,1,1
squat_wikimedia_01.webm,171,squat_wikimedia,143.168,135.34,161.037,0.8982,177.569,8.483,1.4259,36.832,114.776,114.776,0,136.432,127.689,12.669,136.432,0,ascending,1,1,0,1,1
squat_wikimedia_01.webm,174,squat_wikimedia,132.393,125.134,161.199,0.8615,140.408,-28.677,1.2812,47.607,102.313,102.313,0,107.744,102.067,1.624,107.744,0,ascending,1,0,0,1,1
squat_wikimedia_01.webm,177,squat_wikimedia,135.679,128.621,161.562,0.8544,156.079,-13.006,1.2007,44.321,81.28,81.28,0,32.862,34.873,3.631,34.873,0,ascending,1,0,0,1,1
squat_wikimedia_01.webm,180,squat_wikimedia,140.724,135.197,163.457,0.8758,170.005,0.92,1.175,39.276,67.265,67.265,0,50.45,65.756,18.943,65.756,0,ascending,1,0,0,1,1
squat_wikimedia_01.webm,183,squat_wikimedia,154.952,150.0,165.081,0.8789,179.371,10.285,1.0844,25.048,48.096,48.096,0,142.28,148.031,16.245,148.031,0,ascending,1,1,0,1,1
squat_wikimedia_01.webm,186,squat_wikimedia,163.39,159.26,167.773,0.908,146.737,-22.348,1.0497,16.61,37.408,37.408,0,84.372,92.598,26.92,92.598,0,top,1,0,0,1,1
squat_wikimedia_01.webm,189,squat_wikimedia,169.815,166.707,171.488,1.0,168.728,0.0,1.0087,10.185,24.852,24.852,0,64.253,74.475,37.151,74.475,0,top,0,0,0,1,1
squat_wikimedia_01.webm,192,squat_wikimedia,172.324,170.486,174.059,1.0,166.561,0.0,0.8699,7.676,14.255,14.255,0,25.094,37.788,25.71,37.788,0,top,0,0,0,1,1
squat_wikimedia_01.webm,195,squat_wikimedia,174.114,174.548,177.313,1.0,153.998,0.0,0.7349,5.886,5.034,5.886,0,17.898,40.624,32.533,40.624,0,top,0,0,1,0,1
squat_wikimedia_01.webm,198,squat_wikimedia,176.872,179.931,178.441,1.0,164.858,0.0,0.6754,3.128,1.0,3.128,0,27.582,53.832,11.286,53.832,0,top,0,0,1,0,1
squat_wikimedia_01.webm,201,squat_wikimedia,176.699,178.02,176.443,1.0,178.595,0.0,0.7217,3.301,0.899,3.301,0,1.732,19.114,19.984,19.984,0,top,0,0,1,0,1
squat_wikimedia_01.webm,204,squat_wikimedia,177.149,176.735,175.382,1.0,179.748,0.0,0.7201,2.851,0.206,2.851,0,4.496,12.852,10.612,12.852,0,top,0,0,1,0,1
squat_wikimedia_01.webm,207,squat_wikimedia,176.919,175.947,174.507,1.0,164.011,0.0,0.7035,3.081,0.918,3.081,0,2.298,7.874,8.752,8.752,0,top,0,0,1,0,1
squat_wikimedia_01.webm,210,squat_wikimedia,176.201,176.329,174.521,1.0,164.771,0.0,0.7156,3.799,0.277,3.799,0,7.179,3.812,0.142,7.179,0,top,0,0,1,0,1
